first_name,last_name,state,response
Pavlov,Wharf,New York City,5
Danice,Pinckard,Cali,3
Colette,Noto,NYC,1
Jarret,Vell,New York City,5
Donny,Bairnsfather,NYC,5
Shelby,Vaillant,Calefornie,4
Timmie,Kirlin,Newyork,5
Mirabel,Tolan,Califronia,2
Rodge,MacKerley,Cali,3
Sig,Piburn,Califronia,4
Charlot,Eveleigh,California,1
Filippa,Hazard,NYC,1
Betsey,Geall,Cali,5
Rosalyn,Lillico,Calefornie,5
Martynne,Braams,NYC,5
Barry,Boase,California,3
Dynah,Edmans,NYC,3
Laverna,Buntain,Califronia,2
Alley,Wogden,Calfornia,4
Franky,Ledwich,Calefornie,4
Lind,Hunnam,Newyork,5
Godfree,McCaghan,Calefornie,2
Claude,Bachshell,NYC,2
Lannie,Emanuelov,Newyork,3
Melania,Worrell,Califronia,1
Levi,Levay,New York City,1
Hyacinth,Sineath,Newyork,2
Leeann,Horbart,California,4
Galina,Orris,NYC,5
Shanta,Uttridge,Newyork,4
Amandy,Thain,Califronia,3
Erik,Iltchev,New York City,4
Olag,Pond,Calfornia,2
Bibbie,Gile,Cali,2
Chip,Trevor,Calefornie,3
Neile,Emma,New York City,2
Cord,Gianotti,Cali,1
Gael,Booty,Calfornia,2
Ewen,Rebbeck,NYC,5
Zia,Moretto,Califronia,5
Melvyn,Clinkard,Calefornie,2
Georgie,Gilbanks,New York City,3
Seamus,Dabels,Newyork,2
Genia,Chisnall,New York,4
Gwenora,Grayling,Calefornie,4
Wendie,Wass,New York City,3
Con,Baccas,Califronia,1
Daren,Serjent,NYC,1
Querida,July,New York,4
Vicky,Lay,Cali,2
Marne,Scally,California,5
Bradley,Pavluk,New York,1
Franciskus,Hacksby,Calefornie,2
Sallyanne,Kastel,Calfornia,1
Sonnnie,Blune,Newyork,4
Lester,Saleway,New York,2
Danette,Plessing,NYC,4
Zeke,Guerreiro,California,2
Jessalyn,MacBarron,New York City,4
Tabbie,Kelso,Calfornia,3
Ches,Tett,Califronia,2
Garnet,Lennox,Newyork,2
Hirsch,Brayn,Newyork,5
Orlando,Beazer,New York,2
Carol,Watkiss,New York City,2
Davidde,Bore,New York,1
Cloe,Girardengo,California,3
Olav,Kampshell,NYC,1
Martino,Prentice,Calfornia,2
Baillie,Soans,Newyork,1
Ursula,Davidowsky,New York City,5
Marisa,Hurdedge,Califronia,3
Duffie,Cottam,Newyork,5
Annadiane,Dowry,Califronia,5
Monroe,Rimmer,Califronia,1
Margarete,Whightman,Calfornia,1
Zitella,Slamaker,Califronia,4
Lindi,Burnup,New York,2
Susann,Godthaab,Newyork,2
Crin,Salla,Calfornia,3
Conni,Moncreiff,New York,2
Adamo,Skein,Newyork,4
Brande,Hedgeman,NYC,5
Chaddie,Treasure,California,5
Burg,Boase,Calefornie,2
Mic,Parell,Calefornie,5
Mufi,Tine,Calfornia,5
Hesther,Ferrai,New York City,1
Broderic,Spelwood,Cali,1
Cory,Grimwood,California,5
Bernadina,Orme,Calefornie,2
Meredeth,Scrafton,Calfornia,5
Gilberto,Lasselle,NYC,4
Yank,Cicerone,NYC,5
Annnora,Bennitt,Cali,4
Alberta,Mucklow,Calefornie,5
Tallie,Message,New York City,1
Deanne,Rembrandt,New York,3
Shirlene,Cowans,California,4
Vincent,Oldcroft,Newyork,2
Ashley,Gouthier,California,2
Katinka,Pittson,New York City,1
Adolf,Gainor,New York,3
Birgitta,Cusack,Calefornie,1
Roxanne,Killimister,Cali,5
Guthrie,Marishenko,Calfornia,5
Gunilla,Sehorsch,Califronia,2
Parke,Bittlestone,Cali,1
Ezequiel,Matis,Calefornie,4
Wainwright,McLeod,Califronia,2
Kimble,Kitson,California,3
Harry,Ovitts,New York City,4
Hayyim,Smail,Cali,4
Klaus,Jarrel,NYC,2
Myrna,Bisiker,New York City,3
Nixie,Kopps,Calefornie,4
Elias,McSwan,New York,1
Ester,Mulles,Cali,2
Anderson,Kalinowsky,New York City,2
Linet,Jarrelt,Califronia,5
Julie,Wedgbrow,Califronia,2
Whitby,Kitchiner,Newyork,2
Shell,Hestrop,New York City,4
Auberon,Tidbold,New York,1
Dania,Jerrans,Newyork,5
Daryl,Records,Calfornia,3
Camel,Barlow,Califronia,2
Helenelizabeth,Warnock,Calefornie,5
Darelle,Austin,Calefornie,2
Marleen,O'Lochan,New York,1
Phedra,Doyland,New York,3
Kristopher,Ensten,Califronia,3
Cort,Collishaw,Cali,1
Northrop,Slimm,Califronia,1
Salaidh,Coopey,Calefornie,5
Vittorio,Vice,California,4
Cassandra,Bellerby,Calfornia,5
Bjorn,Janczewski,NYC,3
Silvano,Alcide,Calefornie,5
Molly,Fitchew,NYC,5
Otto,Cerro,Newyork,2
Austin,Cherry,NYC,3
Gusty,Hallaways,New York,5
Dacia,Wudeland,Calfornia,4
Alberik,Lamswood,Cali,3
Casey,Goundsy,New York,5
Lionello,Sedgmond,New York,4
Warner,Duffield,Cali,5
Nettie,Woller,Calefornie,4
Julianna,Emanulsson,California,2
Rosalia,Bodham,Calefornie,1
Odo,Zettler,Cali,4
Brandie,Crabtree,Newyork,3
Gerik,Zeal,California,5
Allen,Cayford,Newyork,4
Alisander,Selcraig,Calfornia,4
Parnell,Iacobo,Calfornia,1
Bertram,McAirt,New York City,3
Peter,Concannon,Califronia,1
Kary,MacLardie,California,1
