,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
663,1526,Wednesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,101.0,Somewhat clean,Somewhat safe,Neutral, Bren McGuckin,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
664,2689,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,150.0,Somewhat clean,Very safe,Neutral, Merrie Sainz,Lorem ipsum dolor sit amet consectetuer adipiscing elit.
665,3055,Sunday,PHILIPPINE AIRLINES,MANILA,Asia,Medium,Gates 1-12,2018-01-01,335.0,Average,Somewhat safe,Somewhat satsified, Carce Mapholm,Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus.
666,2136,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,380.0,Clean,Neutral,Neutral, Miguela Gervaise,Sed ante. Vivamus tortor.
667,1450,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,82.0,Clean,Very safe,Very satisfied, Linzy Goodhew,Nulla mollis molestie lorem. Quisque ut erat.
668,2415,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,190.0,Clean,Somewhat safe,Somewhat satsified, Davide Arundale,Pellentesque at nulla.
669,729,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,245.0,Somewhat clean,Somewhat safe,Neutral, Suki Scholtz,Nulla suscipit ligula in lacus.
670,2232,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60.0,Somewhat clean,Very safe,Somewhat satsified, Gwenni Glanders,Vestibulum rutrum rutrum neque.
671,1452,Wednesday,UNITED,LAS VEGAS,West US,    Hub,Gates 60-69,2018-12-31,82.0,Clean,Very safe,Very satisfied, Queenie Cheasman,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.
672,1705,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,225.0,Somewhat clean,Somewhat safe,Somewhat satsified, Geordie Jendrusch,Duis bibendum. Morbi non quam nec dui luctus rutrum.
673,1543,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,170.0,Average,Very safe,Neutral, Terza Bosence,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
674,618,Tuesday,ALASKA,WASHINGTON DC-DULLES,EAST US,    Medium,Gates 50-59,2018-12-31,155.0,Clean,Very safe,Somewhat satsified, Melba Pinchon,Proin risus. Praesent lectus.
675,1726,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,105.0,Clean,Very safe,Somewhat satsified, Constantia Domleo,Sed ante.
676,2209,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub     ,Gates 20-39,2018-12-31,135.0,Somewhat clean,Somewhat safe,Neutral, Dorella Dring,Proin eu mi.
677,1786,Saturday,UNITED,RALEIGH-DURHAM,East US,Medium,Gates 70-90,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satsified, Ambur Thairs,Suspendisse potenti. Cras in purus eu magna vulputate luctus.
678,2625,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satsified, Louisa Aucourte,Vivamus tortor. Duis mattis egestas metus.
679,1760,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,145.0,Average,Somewhat safe,Somewhat satsified, Renato Kingcott,Phasellus sit amet erat. Nulla tempus.
680,2732,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,270.0,Somewhat clean,Somewhat safe,Neutral, Dacy Dinsell,Cras pellentesque volutpat dui.
681,711,Thursday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Somewhat safe,Neutral, Koo Pellatt,Duis aliquam convallis nunc.
682,943,Thursday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satsified, Alisun Hucker,Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
684,1910,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,140.0,Somewhat clean,Neutral,Very satisfied, Elke Siaskowski,Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem.
685,2027,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,150.0,Average,Very safe,Somewhat satsified, Onfre Dankov,Fusce consequat.
688,365,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,105.0,Somewhat clean,Somewhat safe,Somewhat satsified, Sibley Balfour,Suspendisse potenti.
689,3005,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,2018-12-31,100.0,Average,Somewhat safe,Somewhat satsified, Flo Jellman,Phasellus in felis.
690,1502,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,2018-12-31,150.0,Average,Somewhat safe,Somewhat satsified, Javier Le Blanc,Nunc nisl.
691,2621,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Very satisfied, Zaria Morcom,Quisque porta volutpat erat.
692,1639,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Clean,Very safe,Somewhat satsified, Sarette Burndred,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
693,2733,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,160.0,Clean,Somewhat safe,Neutral, Wylma Shill,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
694,2021,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,160.0,Average,Neutral,Neutral, Dasie Gethyn,Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio condimentum id luctus nec molestie sed justo.
695,629,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,140.0,Somewhat clean,Very safe,Somewhat satsified, Karlotta Bodiam,Nullam porttitor lacus at turpis.
696,3026,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,120.0,Clean,Very safe,Very satisfied, Anne-corinne Callendar,In quis justo.
697,1671,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,125.0,Somewhat clean,Somewhat safe,Very satisfied, Antoinette Tatnell,Quisque arcu libero rutrum ac lobortis vel dapibus at diam.
698,3248,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,74.9999999999999,Clean,Very safe,Very satisfied, Nicolea Starr,Proin at turpis a pede posuere nonummy. Integer non velit.
699,684,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,230.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Robbie Just,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
701,1905,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,128.0,Somewhat clean,Neutral,Somewhat satsified, Merrill Bagot,In est risus auctor sed tristique in tempus sit amet sem.
703,774,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,220.0,Somewhat clean,Very safe,Neutral, Hedda Duffett,Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo.
704,2917,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,14.9999999999999,Clean,Very safe,Very satisfied, Kristina Guidera,Proin eu mi. Nulla ac enim.
705,1459,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,84.9999999999999,Clean,Neutral,Very satisfied, Lamont Possell,Sed accumsan felis.
706,1178,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,2018-12-31,115.0,Somewhat clean,Very safe,Somewhat satsified, Marietta Spadoni,Ut at dolor quis odio consequat varius. Integer ac leo.
707,2691,Friday,UNITED,ORLANDO,East US,Hub,Gates 70-90,2018-12-31,367.0,Average,Neutral,Neutral,Dr. Lind Yurocjhin,Ut at dolor quis odio consequat varius.
708,857,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,154.0,Clean,Somewhat safe,Somewhat satsified, Richie Jenking,Suspendisse accumsan tortor quis turpis. Sed ante.
709,3148,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satsified, Minnaminnie Schumacher,Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.
710,1519,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,115.0,Somewhat clean,Very safe,Somewhat satsified, Vladimir Lamp,Nulla mollis molestie lorem. Quisque ut erat.
711,1126,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,105.0,Average,Very safe,Somewhat satsified, Filmore Gindghill,Integer a nibh.
712,3269,Tuesday,UNITED,LAS VEGAS,West US,    Hub,Gates 70-90,2018-12-31,85.0000000000002,Average,Somewhat safe,Neutral, Immanuel Spinley,Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis.
714,1960,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,165.0,Somewhat clean,Neutral,Neutral, Amandie Jindacek,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
715,2545,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,83.0,Somewhat clean,Very safe,Neutral, Brandise Braznell,Nunc rhoncus dui vel sem.
718,2582,Tuesday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,90.0,Somewhat clean,Somewhat safe,Neutral, Margareta Youll,Nulla ut erat id mauris vulputate elementum.
719,358,Friday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,80.0,Somewhat clean,Somewhat safe,Neutral, Fidelia Pegram,Proin interdum mauris non ligula pellentesque ultrices.
720,2912,Thursday,DELTA,SEATTLE,West US,Hub,Gates 40-48,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satsified, Albie Drewery,Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis.
721,2030,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat unsatisfied,Ms. Lazaro Baudain,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
722,2242,Wednesday,WOW,REYKJAVIK,eur,Small     ,Gates 91-102,2018-12-31,156.0,Somewhat clean,Somewhat safe,Neutral, Layton Sline,Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.
723,2556,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,108.0,Somewhat clean,Somewhat safe,Neutral, Sax Figg,Pellentesque viverra pede ac diam.
724,853,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,85.0000000000002,Somewhat clean,Somewhat safe,Very satisfied,Ms. Janos Hubbard,Fusce lacus purus aliquet at feugiat non pretium quis lectus. Suspendisse potenti.
725,3168,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,110.0,Clean,Somewhat safe,Very satisfied, Wilmer Critchell,Duis mattis egestas metus.
726,2234,Thursday,SOUTHWEST,SANTA ANA,West US,Medium,Gates 20-39,2018-12-31,60.0,Clean,Very safe,Somewhat satsified, Germaine Elson,Praesent lectus.
727,2765,Sunday,WOW,REYKJAVIK,eur,Small     ,Gates 1-12,2018-12-31,175.0,Somewhat clean,Very safe,Somewhat satsified, Pepillo Skeffington,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
728,3092,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,173.0,Average,Somewhat safe,Neutral, Connor Broz,Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.
729,285,Thursday,UNITED,BALTIMORE,East US,Medium,Gates 70-90,2018-12-31,164.0,Average,Somewhat safe,Neutral,Ms. Maudie Flea,Nunc rhoncus dui vel sem. Sed sagittis.
730,1480,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,130.0,Somewhat clean,Somewhat safe,Somewhat satsified, Rinaldo De la Feld,Lorem ipsum dolor sit amet consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.
731,3175,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,60.0,Clean,Very safe,Somewhat satsified, Kimble Coverdill,Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.
732,2770,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,90.0,Somewhat clean,Very safe,Somewhat satsified, Marie Louw,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
733,3033,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,150.0,Somewhat clean,Somewhat safe,Somewhat satsified, Ursala Knellen,Fusce consequat.
734,1661,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,150.0,Average,Neutral,Very satisfied, Janey Stoad,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
735,2634,Tuesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,60.0,Somewhat clean,Somewhat safe,Neutral, Kay McNirlin,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.
736,1987,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145.0,Average,Neutral,Neutral, Enrika Kaygill,Suspendisse potenti.
737,1861,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified, Tadd Morlon,Cras pellentesque volutpat dui. Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc.
738,1278,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,320.0,Average,Somewhat safe,Somewhat satsified, Godwin Ovett,Sed accumsan felis. Ut at dolor quis odio consequat varius.
739,1841,Monday,TURKISH AIRLINES,ISTANBUL,middle east,Hub     ,Gates 91-102,2018-12-31,300.0,Clean,Very safe,Very satisfied, Carlie Sherman,Etiam pretium iaculis justo. In hac habitasse platea dictumst.
740,341,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,98.0,Clean,Somewhat safe,Somewhat satsified, Friederike Fairleigh,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
741,1978,Tuesday,UNITED,BALTIMORE,East US,Medium,Gates 60-69,2018-12-31,155.0,Clean,Somewhat safe,Very satisfied, Blair O'Currigan,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
743,319,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,59.99999999999989,Clean,Neutral,Very satisfied, Ludvig Griniov,Vivamus in felis eu sapien cursus vestibulum.
744,1636,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,2018-12-31,195.0,Clean,Very safe,Somewhat satsified, Donella McQuaid,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
745,3292,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,145.0,Clean,Very safe,Very satisfied, Dorena Dainter,Ut at dolor quis odio consequat varius. Integer ac leo.
746,3203,Tuesday,UNITED,ONTARIO (CALIF),West US,Small,Gates 70-90,2018-12-31,245.0,Clean,Very safe,Very satisfied, Dominga Espinha,Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est.
747,1898,Monday,LUFTHANSA,MUNICH,eur,    Hub,Gates 91-102,2018-12-31,235.0,Somewhat dirty,Neutral,Neutral, Carlyn Jellman,Praesent lectus.
748,633,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,95.0,Somewhat clean,Somewhat safe,Neutral, Trevor Atwel,Lorem ipsum dolor sit amet consectetuer adipiscing elit.
749,1385,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,235.0,Clean,Very safe,Very satisfied, Jilleen Noel,Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci.
751,2069,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,177.0,Clean,Somewhat safe,Somewhat satsified, Reinhold Bruyntjes,Nullam varius. Nulla facilisi.
752,299,Wednesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,130.0,Average,Neutral,Neutral, Dara Venton,Ut at dolor quis odio consequat varius.
753,2730,Friday,UNITED,KAHULUI,West US,Small,Gates 60-69,2018-12-31,122.0,Somewhat clean,Very safe,Somewhat satsified, Henderson Stratley,Sed ante.
754,1676,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Very safe,Somewhat satsified, Dionne Hasnney,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
755,3282,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,80.0,Somewhat clean,Very safe,Somewhat satsified, Pembroke Tuck,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.
756,2112,Tuesday,AMERICAN,PHOENIX,West US,    Hub,Gates 50-59,2018-12-31,121.0,Somewhat clean,Very safe,Very satisfied, Porter Windus,Nullam molestie nibh in lectus.
757,1986,Friday,AIR FRANCE/KLM,AMSTERDAM,Europe,Hub,Gates 1-12,2018-12-31,145.0,Average,Somewhat safe,Somewhat satsified,Mr. Tannie Byre,Phasellus in felis. Donec semper sapien a libero.
758,2595,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,147.0,Somewhat clean,Somewhat safe,Somewhat satsified, Kelvin Leverentz,Donec diam neque vestibulum eget vulputate ut ultrices vel augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.
759,814,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,185.0,Clean,Very safe,Very satisfied, Lilllie Geal,Integer non velit.
760,2551,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,135.0,Average,Very safe,Neutral, Kele Tomaschke,Sed ante. Vivamus tortor.
761,1965,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Somewhat clean,Somewhat safe,Somewhat satsified, Torrin Hovee,Integer ac neque.
762,2640,Tuesday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,2018-12-31,113.0,Average,Somewhat safe,Very unsatisfied, Daffie Francesch,Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis.
763,395,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,205.0,Somewhat clean,Very safe,Somewhat satsified, Constantina Bree,Maecenas leo odio condimentum id luctus nec molestie sed justo.
764,728,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,2018-12-31,185.0,Clean,Very safe,Very satisfied, Marcus Mikalski,Praesent id massa id nisl venenatis lacinia.
765,1215,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,55.00000000000011,Clean,Somewhat safe,Somewhat satsified, Rourke McCurtin,Aliquam non mauris.
766,2314,Tuesday,UNITED,SAN ANTONIO,Midwest US,Medium,Gates 70-90,2018-12-31,150.0,Clean,Somewhat safe,Somewhat satsified, Cecily Domingues,Lorem ipsum dolor sit amet consectetuer adipiscing elit.
767,1718,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,210.0,Average,Somewhat safe,Neutral, Chloe Lowy,Suspendisse potenti.
768,2383,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,    Hub,Gates 91-102,2018-12-31,215.0,Clean,Very safe,Somewhat satsified,Mr. Brien Espasa,Nullam porttitor lacus at turpis.
769,584,Thursday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,95.0,Clean,Neutral,Somewhat satsified, Ivory Muino,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.
770,1770,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,    Hub,Gates 50-59,2018-12-31,85.0,Clean,Very safe,Somewhat satsified, Shaughn Beel,Etiam faucibus cursus urna. Ut tellus.
771,642,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,125.0,Somewhat clean,Neutral,Neutral, Lynette Hourican,Nulla mollis molestie lorem.
772,1865,Sunday,ALASKA,KAHULUI,West US,Small,Gates 50-59,2018-12-31,505.0,Clean,Somewhat safe,Somewhat satsified, Ashli Carrell,Aliquam non mauris.
773,2100,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,49.0,Somewhat clean,Very safe,Somewhat satsified,Ms. Purcell Elcum,Donec odio justo sollicitudin ut suscipit a feugiat et eros.
774,2647,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,132.0,Somewhat clean,Neutral,Neutral, Jill MacAndie,Etiam vel augue. Vestibulum rutrum rutrum neque.
775,1982,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,2018-12-31,265.0,Average,Somewhat safe,Neutral, Courtney Wann,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
776,1973,Friday,CATHAY PACIFIC,HONG KONG,Asia,Hub     ,Gates 1-12,2018-12-31,125.0,Clean,Very safe,Very satisfied, Amos Hankey,Proin eu mi.
777,310,Tuesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,2018-12-31,95.0000000000001,Clean,Very safe,Somewhat satsified, Zebadiah Wilkenson,Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.
778,2386,Wednesday,UNITED INTL,SYDNEY,Australia/New Zealand,Hub,Gates 91-102,2018-12-31,215.0,Somewhat clean,Very safe,Very satisfied, Bron Hune,In quis justo.
779,295,Wednesday,SOUTHWEST,LOS ANGELES,West US,    Hub,Gates 20-39,2018-12-31,190.0,Average,Neutral,Neutral, Ogdon Beak,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
780,2301,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,175.0,Somewhat clean,Somewhat safe,Somewhat satsified, Celka Linton,Duis bibendum.
781,1253,Thursday,CHINA EASTERN,SHANGHAI,Asia,Hub,Gates 1-12,2018-12-31,195.0,Somewhat clean,Somewhat safe,Very satisfied, Slade Teall,Nulla nisl. Nunc nisl.
782,1649,Saturday,VIRGIN ATLANTIC,LONDON HEATHROW,Europe,Hub,Gates 1-12,2018-12-31,170.0,Somewhat clean,Very safe,Somewhat satsified, Phelia Heindrich,Morbi odio odio elementum eu interdum eu tincidunt in leo.
783,3279,Wednesday,SOUTHWEST,DENVER,West US,Hub,Gates 20-39,2018-12-31,125.0,Somewhat clean,Neutral,Somewhat satsified, Tony Pashley,Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio condimentum id luctus nec molestie sed justo.
784,863,Tuesday,ALASKA,SEATTLE,West US,Hub     ,Gates 50-59,2018-12-31,65.0000000000001,Somewhat clean,Very safe,Neutral, Penni Catenot,Nulla tellus. In sagittis dui vel nisl.
785,2771,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Very safe,Somewhat satsified, Corenda Baudassi,Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.
786,1547,Wednesday,AIR CHINA,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,240.0,Clean,Somewhat safe,Somewhat satsified, Wildon MacKerley,Nulla ut erat id mauris vulputate elementum.
787,750,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,2018-12-31,235.0,Somewhat clean,Somewhat safe,Somewhat satsified, Pierrette McGaughie,Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique.
788,2285,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,225.0,Somewhat clean,Somewhat safe,Neutral,Mr. Lorianne Adamovicz,Suspendisse potenti. In eleifend quam a odio.
789,3214,Tuesday,UNITED,SANTA BARBARA,West US,Small,Gates 70-90,2018-12-31,75.0000000000001,Somewhat clean,Somewhat safe,Neutral, Percy Lochead,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
790,2172,Wednesday,FRONTIER,DENVER,West US,    Hub,Gates 20-39,2018-12-31,153.0,Clean,Somewhat safe,Somewhat satsified, Lydie Wylie,Proin eu mi. Nulla ac enim.
791,576,Thursday,JETBLUE,BOSTON,EAST US,    Large,Gates 1-12,2018-12-31,112.0,Somewhat clean,Somewhat safe,Very satisfied, Violette Schachter,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
792,404,Saturday,UNITED,PHOENIX,West US,Hub,Gates 70-90,2018-12-31,84.9999999999999,Clean,Somewhat safe,Somewhat satsified, Babbie Sagar,Vestibulum rutrum rutrum neque.
794,2254,Wednesday,UNITED,LOS ANGELES,West US,    Hub,Gates 60-69,2018-12-31,185.0,Clean,Very safe,Very satisfied, Eddy Beatson,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.
795,682,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,125.0,Somewhat clean,Somewhat safe,Neutral, Timmy Hutten,Ut at dolor quis odio consequat varius. Integer ac leo.
796,2028,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,95.0,Somewhat clean,Somewhat safe,Very satisfied, Wright Dorr,Nulla mollis molestie lorem. Quisque ut erat.
798,854,Tuesday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,109.0,Somewhat clean,Very safe,Very satisfied, Krystyna McCathie,Curabitur in libero ut massa volutpat convallis.
